"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"2652","雪浪小镇(#21)","/(#0)","雪浪小镇测试(#849)","【用能计量】数据统计正确、样式展示正确（参照UI稿）","功能同分项计量，具体层级结构按实际开发为准","1. 能源、碳排放
2. 曲线图
3. 数据统计","1. 统计数据正确
2. 样式展示正确
3. 正确","1. 
2. 
3.","","3","功能测试","
功能测试阶段","正常","0","0","3","","许雪","2021-05-13","","0000-00-00","1","",""
"2651","雪浪小镇(#21)","/(#0)","雪浪小镇测试(#849)","【预警报警】展示报警信息","操作按钮功能，参照中台，点击操作按钮后，状态要同步更新至中台","1. 搜索：
告警名称、告警等级、告警类型、告警时间
2. 数据列表：
告警名称、告警设备、告警等级、告警类型、告警开始时间、告警结束时间、告警持续时长、数据来源
状态：已处理、未处理
3. 操作：报警核实、误报
4. 分页
5. 导出","1. 1、支持模糊搜索，点击“清空”，可清空数据
2、根据搜索条件，搜索结果正确
2. 根据字段名称，正确展示设备数据
3. 操作功能同中台
4. 功能正常
5. 待确认","1. 
2. 
3. 
4. 
5.","","3","功能测试","
功能测试阶段","正常","0","0","5","","许雪","2021-05-13","","0000-00-00","1","",""
"2650","雪浪小镇(#21)","/(#0)","雪浪小镇测试(#849)","【用能详情】用能记录，excel显示","","1. 时间范围：
1、时间控件输入
2、最近1小时、近1天、近7天、近1月
2. 数据间隔：5min、10min、30min、1h
3. 点击“数据选择”
4. 图标/excel 切换
5. 点击“导出”
6. excel表格形式：
时间、测点名称、实时数据、复选框","1. 根据时间区间显示测点数据
2. 间隔指定时间，显示数据
3. 进入数据选择弹窗
4. 切换展示方式：图表/excel展示
5. 生成excel文件
6. 数据展示正常","1. 
2. 
3. 
4. 
5. 
6.","","3","功能测试","
功能测试阶段","正常","0","1","6","阻塞","许雪","2021-05-13","","0000-00-00","1","",""
"2649","雪浪小镇(#21)","/(#0)","雪浪小镇测试(#849)","【用能详情】用能记录，图表显示","","1. 时间范围：
1、时间控件输入
2、最近1小时、近1天、近7天、近1月
2. 数据间隔：5min、10min、30min、1h
3. 测点名称显示：显示所有选中的测点
4. 点击“数据选择”
5. 图标/excel 切换
6. 点击“导出”","1. 根据时间区间显示测点数据
2. 间隔指定时间，显示数据
3. 不同测点，做颜色区分，曲线也做颜色区分
4. 进入数据选择弹窗
5. 切换展示方式：图表/excel展示
6. 生成pdf文件","1. 
2. 
3. 
4. 
5. 
6.","","3","功能测试","
功能测试阶段","正常","0","1","6","阻塞","许雪","2021-05-13","","0000-00-00","1","",""
"2648","雪浪小镇(#21)","/(#0)","雪浪小镇测试(#849)","【用能详情】用能记录-数据选择","搜索层级：
项目名称—用能类型（设备类型）：目前只有电—楼宇名称—设备名称—设备点位","1. 勾选多个测点，点击“确定”
2. 点击已勾选的测点","1. 进入记录列表页，展示测点数据
2. 取消勾选","1. 
2.","","3","功能测试","
功能测试阶段","正常","0","1","2","阻塞","许雪","2021-05-13","","0000-00-00","1","",""
"2647","雪浪小镇(#21)","/(#0)","雪浪小镇测试(#849)","【首页图表】：控制面板","显示各种硬件设备的控制和调节温度开关展示","1. 空调：
1、室内温度
2、推荐温度
3、制冷/制热模式
4、调节温度
2. 开关
3. 窗帘","1. 按设置展示正确
2. 开或关样式展示
3. 开或关样式展示","1. 
2. 
3.","","3","功能测试","
功能测试阶段","正常","0","0","3","","许雪","2021-05-13","","0000-00-00","1","",""
"2646","雪浪小镇(#21)","/(#0)","雪浪小镇测试(#849)","【首页图表】：用能动态回放","24h、7天、30天","1. 选择 24h/7天/30天
2. 点击播放按钮
3. 点击暂停
4. 点击关闭
5. 注意：今日用能折算标煤","1. 显示进度条
2. 按照一定时间规则，显示对应时间区域的测点数据值
3. 暂停播放显示
4. 退出回放模式
5. 实时动态显示数据的切换速度","1. 
2. 
3. 
4. 
5.","","3","功能测试","
功能测试阶段","正常","0","1","5","通过","许雪","2021-05-12","","0000-00-00","1","",""
"2645","雪浪小镇(#21)","/(#0)","雪浪小镇测试(#849)","【首页图表】：今日用能折算标煤，针对单个楼宇","","1. 浮窗显示","1. 显示整栋楼的数据：
用电、用水、今日用能、平均用能
具体规则，待确认","1.","","3","功能测试","
功能测试阶段","正常","0","1","1","阻塞","许雪","2021-05-12","","0000-00-00","1","",""
"2644","雪浪小镇(#21)","/(#0)","雪浪小镇测试(#849)","【首页图表】：视频监控","","1. 摄像头：
1、显示摄像头名称，可下拉切换
2、点击“播放”按钮
2. 点击左右三角，切换算法","1. 可实时播放视频
2. 显示算法名称、创建时间和算法结果","1. 
2.","","3","功能测试","
单元测试阶段","正常","0","1","2","通过","许雪","2021-05-12","","0000-00-00","1","",""
"2643","雪浪小镇(#21)","/(#0)","雪浪小镇测试(#849)","【首页图表】：24h节能对比","","1. 用能基准
2. 基准趋势
3. 分时用能
4. 环境温度","1. 显示实际用能值曲线
2. 显示基础用能趋势图
3. 待确认
4. 显示实际环境温度","1. 
2. 
3. 
4.","","3","功能测试","
功能测试阶段","正常","0","1","4","阻塞","许雪","2021-05-12","","0000-00-00","1","",""
"2642","雪浪小镇(#21)","/(#0)","雪浪小镇测试(#849)","【首页图表】：用能概览，曲线图展示","","1. 曲线图展示","1. 按照规则显示，规则待确认","1.","","3","功能测试","
功能测试阶段","正常","0","1","1","阻塞","许雪","2021-05-12","","0000-00-00","1","",""
"2641","雪浪小镇(#21)","/(#0)","雪浪小镇测试(#849)","【首页图表】：人流量统计","","1. 实时人流量统计
2. 人流摄像头","1. 显示当前人流量人数，页面显示规则待确认，先参照UI稿
2. 图形化展示当前人流量，可视频播放，切换","1. 
2.","","3","功能测试","
功能测试阶段","正常","0","1","2","阻塞","许雪","2021-05-12","","0000-00-00","1","",""
"2640","雪浪小镇(#21)","/(#0)","雪浪小镇测试(#849)","【首页图表】：用能概览，今日碳排放TOP5","信息显示包括：楼宇名称、碳排放进度条、今日楼宇碳排放平均值升降百分比","1. 楼宇名称
2. 碳排放进度条
3. 今日楼宇碳排放平均值升降百分比
4. 图标显示","1. 显示楼栋信息
2. 统计今天整栋楼的碳排放总值，并转换为进度条显示，以颜色区分，参照UI设计稿
3. 公式待确认
4. 参照UI设计稿","1. 
2. 
3. 
4.","","3","功能测试","
功能测试阶段","正常","0","1","4","阻塞","许雪","2021-05-12","","0000-00-00","1","",""
"2639","雪浪小镇(#21)","/(#0)","雪浪小镇测试(#849)","【首页图表】：用能概览，碳排放","根据电点位，经过公式处理后，作为碳排放值","1. 累计碳排放（吨）
2. 月平均碳排放（吨）
3. 月度碳排放峰值
4. 月同比升降百分比","1. 统计所有碳排放总值
2. 累计碳排放/月
3. 取一年12月中，用碳最大的月
4. 待确认公式","1. 
2. 
3. 
4.","","3","功能测试","
功能测试阶段","正常","0","1","4","阻塞","许雪","2021-05-12","","0000-00-00","1","",""
"2638","雪浪小镇(#21)","/(#0)","雪浪小镇测试(#849)","【首页图表】：用能概览，年度用电、年度用水","","1. 按年统计，统计整栋楼所有设备用电点位总和，时间区间：年为单位
2. 电/水logo图标
3. 电/水单位","1. 统计数据正确
2. 显示正确
3. 显示正确","1. 
2. 
3.","","3","功能测试","
功能测试阶段","正常","0","2","3","失败","许雪","2021-05-12","","0000-00-00","1","",""
"2637","雪浪小镇(#21)","/(#0)","雪浪小镇测试(#849)","【首页图表】：能源监控天数","","1. 按照项目的创建时间来计算","1. 显示“能源监控天数”","1.","","3","功能测试","
功能测试阶段","正常","0","1","1","通过","许雪","2021-05-12","","0000-00-00","1","",""
